id,name,executable,execution_status,execution_result,missing_data,template,literature_score,data_score,code_score,feasibility_score,novelty_score,score_total
resting_state_functional_connectivity,Resting-state functional connectivity,True,completed,/home/qlp/Agent_skills/neuroscience_research_agent/outputs/20260622_140927/experiments/innovation_03/resting_state_functional_connectivity_result.json,[],resting_state_fc.py,20,20,8,20,14,82
dynamic_functional_connectivity,Dynamic functional connectivity,True,completed,/home/qlp/Agent_skills/neuroscience_research_agent/outputs/20260622_140927/experiments/innovation_01/dynamic_functional_connectivity_result.json,[],dynamic_fc.py,20,20,8,20,8,76
graph_theory_connectomics,Graph-theory connectomics,True,completed,/home/qlp/Agent_skills/neuroscience_research_agent/outputs/20260622_140927/experiments/innovation_01/graph_theory_connectomics_result.json,[],graph_connectomics.py,20,20,8,20,8,76
surface_based_analysis,Surface-based cortical analysis,True,not_run,,[],surface_analysis.py,20,20,5,16,8,69
behavioral_computational_modeling,Behavioral computational modeling,True,completed,/home/qlp/Agent_skills/neuroscience_research_agent/outputs/20260622_140927/experiments/innovation_01/behavioral_computational_modeling_result.json,[],behavioral_computational_modeling.py,9,20,8,20,8,65
alff_falff_frequency,ALFF/fALFF frequency-domain analysis,True,not_run,,[],alff_falff.py,15,20,5,16,8,64
sleep_stage_analysis,Sleep-stage segmented analysis,True,not_run,,[],sleep_stage_analysis.py,12,20,5,16,8,61
eeg_meg_time_frequency,EEG/MEG time-frequency analysis,False,not_run,,['eeg'],eeg_meg_time_frequency.py,20,13,5,15,8,61
multimodal_neuroscience_fusion,Multimodal neuroscience fusion,False,not_run,,['labels'],multimodal_neuroscience_fusion.py,20,13,5,15,8,61
source_connectivity,Source-space neural connectivity,False,not_run,,['eeg'],source_connectivity.py,15,13,5,15,8,56
spike_train_statistics,Spike-train statistics,False,not_run,,['ephys_spikes'],spike_train_statistics.py,15,13,5,15,8,56
calcium_population_dynamics,Calcium-imaging population dynamics,False,not_run,,['calcium_imaging'],calcium_population_dynamics.py,15,13,5,15,8,56
structural_morphometry,Structural MRI morphometry,True,not_run,,[],structural_morphometry.py,6,20,5,16,8,55
task_glm,Task-fMRI GLM,False,not_run,,['events'],task_glm.py,12,13,5,15,8,53
eye_tracking_pupil_gaze,Eye-tracking pupil and gaze analysis,False,not_run,,['eye_tracking'],eye_tracking_pupil_gaze.py,12,13,5,15,8,53
diffusion_connectomics,Diffusion MRI connectomics,False,not_run,,['dwi'],diffusion_connectomics.py,12,13,5,15,8,53
mvpa_decoding,MVPA / decoding,False,not_run,,['labels'],mvpa_decoding.py,6,13,5,15,8,47
pet_neurochemistry,PET neurochemistry analysis,False,not_run,,['pet'],pet_neurochemistry.py,6,13,5,15,8,47
neurogenomics_association,Neurogenomics association analysis,False,not_run,,['omics'],neurogenomics_association.py,6,13,5,15,8,47
lfp_spectral_coupling,LFP spectral coupling,False,not_run,,['lfp'],lfp_spectral_coupling.py,5,13,5,15,8,46
erp_evoked_response,ERP / evoked-response analysis,False,not_run,,"['eeg', 'events']",erp_evoked_response.py,12,6,5,10,8,41
